id,title,link,difficulty,likes,ac,tags
148,Sort List,https://leetcode.com/problems/sort-list,2,11146,57.10%,"[1, 2, 2]"
747,Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs,1,11097,65.40%,"[1, 7]"
230,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst,2,11070,71.90%,"[5, 6, 5]"
567,Permutation in String,https://leetcode.com/problems/permutation-in-string,2,10988,44.20%,"[1, 2, 3, 2]"
908,Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list,1,10933,77.10%,"[1, 2]"
18,4Sum,https://leetcode.com/problems/4sum,2,10899,36.00%,"[1, 2]"
100,Same Tree,https://leetcode.com/problems/same-tree,1,10893,60.50%,"[5, 6, 5]"
338,Counting Bits,https://leetcode.com/problems/counting-bits,1,10799,77.90%,"[7, 8]"
540,Single Element in a Sorted Array,https://leetcode.com/problems/single-element-in-a-sorted-array,2,10722,59.00%,"[1, 2]"
235,Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,2,10699,64.00%,"[5, 6, 5]"
108,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,1,10649,71.20%,"[1, 2, 5, 5]"
893,All Nodes Distance K in Binary Tree,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,2,10647,64.20%,"[5, 6, 5]"
437,Path Sum III,https://leetcode.com/problems/path-sum-iii,2,10602,46.70%,"[5, 6, 5]"
494,Target Sum,https://leetcode.com/problems/target-sum,2,10535,46.40%,"[1, 7, 4]"
103,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,2,10447,58.40%,"[5, 6, 5]"
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii,2,10395,49.90%,"[6, 6]"
279,Perfect Squares,https://leetcode.com/problems/perfect-squares,2,10323,53.10%,"[8, 7, 6]"
110,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree,1,10310,51.30%,"[5, 6, 5]"
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku,2,10239,59.20%,"[1, 2]"
16,3Sum Closest,https://leetcode.com/problems/3sum-closest,2,10183,45.60%,"[1, 2]"
96,Unique Binary Search Trees,https://leetcode.com/problems/unique-binary-search-trees,2,10142,60.70%,"[8, 7, 5, 5]"
143,Reorder List,https://leetcode.com/problems/reorder-list,2,10121,55.60%,"[1, 2, 1, 4]"
768,Partition Labels,https://leetcode.com/problems/partition-labels,2,10103,79.80%,"[1, 2, 3, 2]"
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii,2,10074,54.10%,"[1, 4]"
424,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement,2,10032,53.30%,"[1, 3, 2]"
647,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings,2,9923,68.30%,"[3, 7]"
202,Happy Number,https://leetcode.com/problems/happy-number,1,9913,55.80%,"[1, 8, 2]"
297,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,3,9831,56.40%,"[3, 5, 6, 5]"
221,Maximal Square,https://leetcode.com/problems/maximal-square,2,9822,46.10%,"[1, 7, 2]"
907,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas,2,9819,49.20%,"[1, 2]"
695,Max Area of Island,https://leetcode.com/problems/max-area-of-island,2,9731,71.80%,"[1, 6, 6, 2]"
378,Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,2,9678,62.20%,"[1, 2, 1, 2]"
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle,3,9651,46.50%,"[1, 7, 1, 2, 1]"
328,Odd Even Linked List,https://leetcode.com/problems/odd-even-linked-list,2,9526,61.40%,[1]
213,House Robber II,https://leetcode.com/problems/house-robber-ii,2,9489,41.80%,"[1, 7]"
442,Find All Duplicates in an Array,https://leetcode.com/problems/find-all-duplicates-in-an-array,2,9487,73.60%,[1]
116,Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,2,9446,62.10%,"[1, 5, 6, 5]"
57,Insert Interval,https://leetcode.com/problems/insert-interval,2,9432,39.80%,[1]
410,Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum,3,9407,54.90%,"[1, 2, 7, 2]"
90,Subsets II,https://leetcode.com/problems/subsets-ii,2,9383,56.90%,"[1, 4, 8]"
112,Path Sum,https://leetcode.com/problems/path-sum,1,9377,49.80%,"[5, 6, 5]"
123,Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,3,9371,47.40%,"[1, 7]"
547,Number of Provinces,https://leetcode.com/problems/number-of-provinces,2,9327,65.80%,"[6, 6, 6]"
229,Majority Element II,https://leetcode.com/problems/majority-element-ii,2,9298,50.90%,[1]
621,Task Scheduler,https://leetcode.com/problems/task-scheduler,2,9284,58.10%,"[1, 2, 1]"
516,Longest Palindromic Subsequence,https://leetcode.com/problems/longest-palindromic-subsequence,2,9267,62.40%,"[3, 7]"
392,Is Subsequence,https://leetcode.com/problems/is-subsequence,1,9249,47.90%,"[2, 3, 7]"
61,Rotate List,https://leetcode.com/problems/rotate-list,2,9246,37.20%,"[1, 2]"
50,"Pow(x, n)",https://leetcode.com/problems/powx-n,2,9235,34.30%,"[8, 4]"
120,Triangle,https://leetcode.com/problems/triangle,2,9224,56.10%,"[1, 7]"
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver,3,9178,60.10%,"[1, 4, 2]"
448,Find All Numbers Disappeared in an Array,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,1,9175,60.70%,[1]
309,Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,2,9153,57.70%,"[1, 7]"
212,Word Search II,https://leetcode.com/problems/word-search-ii,3,9146,36.20%,"[1, 3, 4, 2]"
133,Clone Graph,https://leetcode.com/problems/clone-graph,2,9138,56.10%,"[1, 6, 6]"
542,01 Matrix,https://leetcode.com/problems/01-matrix,2,9121,48.10%,"[1, 7, 6, 2]"
67,Add Binary,https://leetcode.com/problems/add-binary,1,9108,53.10%,"[8, 3, 8]"
518,Coin Change II,https://leetcode.com/problems/coin-change-ii,2,9059,63.50%,"[1, 7]"
1056,Capacity To Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,2,9058,68.90%,"[1, 2]"
803,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops,2,9012,37.40%,"[7, 6, 6, 1]"
399,Evaluate Division,https://leetcode.com/problems/evaluate-division,2,8957,61.50%,"[1, 6, 6, 6]"
380,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1,2,8956,54.30%,"[1, 8]"
66,Plus One,https://leetcode.com/problems/plus-one,1,8861,44.70%,"[1, 8]"
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome,1,8801,46.60%,"[2, 3]"
329,Longest Increasing Path in a Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,3,8763,53.30%,"[1, 7, 6, 6, 2]"
312,Burst Balloons,https://leetcode.com/problems/burst-balloons,3,8736,58.40%,"[1, 7]"
450,Delete Node in a BST,https://leetcode.com/problems/delete-node-in-a-bst,2,8731,51.00%,"[5, 5]"
315,Count of Smaller Numbers After Self,https://leetcode.com/problems/count-of-smaller-numbers-after-self,3,8664,42.40%,"[1, 2, 2, 5]"
617,Merge Two Binary Trees,https://leetcode.com/problems/merge-two-binary-trees,1,8642,78.90%,"[5, 6, 5]"
1019,Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array,1,8614,71.80%,"[1, 2]"
82,Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,2,8549,47.00%,"[1, 2]"
63,Unique Paths II,https://leetcode.com/problems/unique-paths-ii,2,8468,41.20%,"[1, 7, 2]"
402,Remove K Digits,https://leetcode.com/problems/remove-k-digits,2,8449,30.90%,"[3, 1, 2, 1]"
662,Maximum Width of Binary Tree,https://leetcode.com/problems/maximum-width-of-binary-tree,2,8434,42.80%,"[5, 6, 5]"
316,Remove Duplicate Letters,https://leetcode.com/problems/remove-duplicate-letters,2,8423,49.20%,"[3, 1, 2, 1]"
387,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string,1,8420,60.50%,"[1, 3, 1]"
83,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list,1,8381,52.00%,[1]
222,Count Complete Tree Nodes,https://leetcode.com/problems/count-complete-tree-nodes,1,8368,64.00%,"[2, 8, 5, 5]"
337,House Robber III,https://leetcode.com/problems/house-robber-iii,2,8339,54.10%,"[7, 5, 6, 5]"
47,Permutations II,https://leetcode.com/problems/permutations-ii,2,8311,58.60%,"[1, 4]"
173,Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator,2,8308,71.40%,"[1, 5, 5]"
130,Surrounded Regions,https://leetcode.com/problems/surrounded-regions,2,8283,38.70%,"[1, 6, 6, 2]"
778,Reorganize String,https://leetcode.com/problems/reorganize-string,2,8265,54.40%,"[1, 3, 2, 1]"
278,First Bad Version,https://leetcode.com/problems/first-bad-version,1,8206,44.10%,[2]
81,Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,2,8187,37.40%,"[1, 2]"
1014,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin,2,8177,66.10%,"[1, 8, 2, 1]"
344,Reverse String,https://leetcode.com/problems/reverse-string,1,8165,77.50%,"[2, 3]"
733,Flood Fill,https://leetcode.com/problems/flood-fill,1,8101,63.50%,"[1, 6, 2]"
1046,Max Consecutive Ones III,https://leetcode.com/problems/max-consecutive-ones-iii,2,8072,62.60%,"[1, 2, 2]"
203,Remove Linked List Elements,https://leetcode.com/problems/remove-linked-list-elements,1,8060,48.00%,"[1, 4]"
205,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings,1,8056,43.50%,"[1, 3]"
724,Find Pivot Index,https://leetcode.com/problems/find-pivot-index,1,8051,56.80%,[1]
77,Combinations,https://leetcode.com/problems/combinations,2,7997,69.90%,[4]
44,Wildcard Matching,https://leetcode.com/problems/wildcard-matching,3,7995,27.50%,"[3, 7, 2, 4]"
97,Interleaving String,https://leetcode.com/problems/interleaving-string,2,7988,39.60%,"[3, 7]"
680,Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii,1,7984,40.10%,"[2, 3, 2]"
572,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree,1,7975,47.50%,"[5, 6]"
801,Is Graph Bipartite?,https://leetcode.com/problems/is-graph-bipartite,2,7961,55.30%,"[6, 6, 6]"
151,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string,2,7905,39.80%,"[2, 3]"
658,Find K Closest Elements,https://leetcode.com/problems/find-k-closest-elements,2,7879,47.10%,"[1, 2, 2, 2, 1]"
1013,Fibonacci Number,https://leetcode.com/problems/fibonacci-number,1,7878,70.60%,"[8, 7, 4]"
435,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals,2,7817,52.80%,"[1, 7, 2]"
69,Sqrt(x),https://leetcode.com/problems/sqrtx,1,7800,38.30%,"[8, 2]"
106,Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,2,7791,62.10%,"[1, 2, 5, 5]"
179,Largest Number,https://leetcode.com/problems/largest-number,2,7784,35.70%,"[1, 3, 2]"
943,Sum of Subarray Minimums,https://leetcode.com/problems/sum-of-subarray-minimums,2,7779,37.50%,"[1, 7, 1, 1]"
334,Increasing Triplet Subsequence,https://leetcode.com/problems/increasing-triplet-subsequence,2,7770,40.40%,"[1, 2]"
144,Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal,1,7767,68.90%,"[1, 5, 6, 5]"
113,Path Sum II,https://leetcode.com/problems/path-sum-ii,2,7733,58.10%,"[4, 5, 6, 5]"
204,Count Primes,https://leetcode.com/problems/count-primes,2,7671,33.40%,"[1, 8]"
99,Recover Binary Search Tree,https://leetcode.com/problems/recover-binary-search-tree,2,7667,52.60%,"[5, 6, 5]"
1025,Minimum Cost For Tickets,https://leetcode.com/problems/minimum-cost-for-tickets,2,7663,65.40%,"[1, 7]"
503,Next Greater Element II,https://leetcode.com/problems/next-greater-element-ii,2,7648,63.60%,"[1, 1, 1]"
581,Shortest Unsorted Continuous Subarray,https://leetcode.com/problems/shortest-unsorted-continuous-subarray,2,7643,36.70%,"[1, 2, 1, 2, 1]"
1603,Running Sum of 1d Array,https://leetcode.com/problems/running-sum-of-1d-array,1,7607,86.60%,[1]
137,Single Number II,https://leetcode.com/problems/single-number-ii,2,7606,62.10%,"[1, 8]"
496,Next Greater Element I,https://leetcode.com/problems/next-greater-element-i,1,7510,71.90%,"[1, 1, 1]"
451,Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency,2,7504,70.70%,"[1, 3, 1]"
692,Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words,2,7502,57.70%,"[1, 3, 1]"
735,Asteroid Collision,https://leetcode.com/problems/asteroid-collision,2,7502,44.80%,"[1, 1]"
135,Candy,https://leetcode.com/problems/candy,3,7460,43.20%,"[1, 2]"
95,Unique Binary Search Trees II,https://leetcode.com/problems/unique-binary-search-trees-ii,2,7421,57.10%,"[7, 4, 5, 5]"
129,Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers,2,7419,62.90%,"[5, 6, 5]"
211,Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure,2,7396,44.80%,"[3, 6]"
874,Backspace String Compare,https://leetcode.com/problems/backspace-string-compare,1,7384,49.10%,"[2, 3, 1]"
310,Minimum Height Trees,https://leetcode.com/problems/minimum-height-trees,2,7366,38.80%,"[6, 6]"
740,Delete and Earn,https://leetcode.com/problems/delete-and-earn,2,7346,56.50%,"[1, 7]"
109,Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,2,7293,61.40%,"[1, 2, 5, 5]"
377,Combination Sum IV,https://leetcode.com/problems/combination-sum-iv,2,7249,54.00%,"[1, 7]"
188,Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,3,7236,41.90%,"[1, 7]"
1029,Vertical Order Traversal of a Binary Tree,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,3,7233,46.90%,"[1, 5, 6, 5]"
882,Peak Index in a Mountain Array,https://leetcode.com/problems/peak-index-in-a-mountain-array,2,7227,68.60%,"[1, 2]"
